,headline,source,topic,Y,Yhat (GPT4o),confidence
484,"COVID-19 Daily: Clinician Infections, Practice Rules Loosened",webmd.com,covid,real,real,0.85
485,New EU Commission taps Timmermans to head climate change fight,france24,climate,real,real,0.9
486,Theres So Much Hypocrisy from the Left on This Meghan McCain Levels Her Co-Hosts During Climate,truepundit,climate,misinfo,misinfo,0.7
487,Some supermarkets took advantage of the epidemic to rise the prizes of consumer goods such as pasta in France.,Social media,covid,misinfo,misinfo,0.6
488,Indian government has created a roadmap to ease COVID-19 restrictions in five phases through a three-week review process.,WhatsApp,covid,misinfo,real,0.9
489,The future of climate policy is being decided in the Pacific Northwest,vox,climate,real,real,0.85
490,Climate change spurs doubling of disasters since 2000: UN,france24,climate,real,real,0.9
491,Dry heat can effectively sanitize N95 masks,medicalnewstoday.com,covid,real,real,0.9
492,Cautionary Tale Spurs 'World's First' COVID-19 Psychiatric Ward,webmd.com,covid,real,real,0.85
493,America predicted the new coronavirus outbreak 9 years ago.,"Facebook, Twitter",covid,misinfo,misinfo,0.7
494,Beware of False Negatives in Diagnostic Testing of COVID-19,sciencedaily.com,covid,real,real,0.9
495,The climate emergency needs political action  not citizens' assemblies | Stefan Stern,theguardianuk,climate,real,real,0.9
496,Russia already has a vaccine to fight COVID-19.,FB,covid,misinfo,misinfo,0.3
497,"Al Gore links severe weather to 'unabated climate crisis,' draws pushback",climatedepot,climate,misinfo,real,0.85
498,Dettol can kill the new coronavirus.,Twitter,covid,misinfo,misinfo,0.7
499,Should Docs Stop Providing Routine Care in the Era of COVID-19?,webmd.com,covid,real,real,0.8
500,Coronavirus lockdowns show the urgency of reining in carbon dioxide emissions to slow climate change,cbsnews,climate,real,real,0.9
501,Galicia suspended classes because of coronavirus on 3/10/20.,Twitter,covid,misinfo,real,0.9
502,A Carbon Tax Back From the Dead? Stranger Things Have Happened.,motherjones,climate,real,real,0.8
503,It's a climate bomb': The 'zombie' fires driving a vicious circle of global heating,theindependent,climate,misinfo,real,0.85
504,In 2019 the public woke up to the climate crisis. When will the politicians? | Stephen Buranyi,theguardianuk,climate,real,real,0.9
505,Climate Alarmists Get 2 Strikes in Court They Should Be Out,realclearpolitics,climate,real,misinfo,0.72
506,Cardiac Arrests On the Rise During COVID-19 Crisis,webmd.com,covid,real,real,0.85
507,"GMA Guilt-Trips, 'Do the Right Thing' on Climate or No More Baby Seals",newsbusters,climate,misinfo,misinfo,0.7
508,"One in three Tory members believe human activity not responsible for climate change, survey finds",theindependent,climate,misinfo,real,0.85
509,"Bloomberg, Apparent Climate Champion, Defends Fossil Fuel In His First Debate",thehuffingtonpost,climate,real,real,0.85
510,The new coronavirus was created in a laboratory.,Facebook,covid,misinfo,misinfo,0.8
511,Al Gore rips Trump for lacking urgency on climate change: He's the 'face of global climate denial',truepundit,climate,misinfo,real,0.9
512,Experts on Climate Change Assessment Every Conclusion of This Latest Government Report Is False,breitbart,climate,misinfo,misinfo,0.8
513,James Murdoch attacks his father's news empire over 'ongoing denial' about climate change,thetelegraph,climate,real,real,0.9
514,CNN Echoes Biden's Violent Climate Hysteria: Trump 'Assaults Science!',newsbusters,climate,misinfo,misinfo,0.7
515,Herd Immunity Threshold Could Be As Low As 43%,webmd.com,covid,real,real,0.8
516,Dianne Feinstein Is a Bigger Climate Threat Than Trump,realclearpolitics,climate,real,misinfo,0.7
517,Can Air Conditioning Spread COVID-19? Probably Not,healthline.com,covid,real,real,0.8
518,Mayor Pete's South Bend office targeted by climate change protesters,hotair,climate,real,real,0.85
519,Seth Meyers Schools Trump on Climate Change: He's Going to 'Get Us All Killed',thedailybeast,climate,real,real,0.8
520,"Argentina, Venezuela and Cuba didn't offer financial assistance to their citizens during the pandemic",Facebook posts,covid,misinfo,misinfo,0.8
521,Saving Flybe By Cutting Airline Tax Would Be 'Exact Opposite Of Tackling Climate Change',thehuffingtonpostuk,climate,real,real,0.9
522,COVID-19: Possible mechanism for blood clotting identified,medicalnewstoday.com,covid,real,real,0.9
523,Pope Proposes Making 'Acts Against The Environment' A Sin,newswars,climate,misinfo,real,0.9
524,Clift: 'Trump Is Trying to Run on Preserving the Oil Industry' - Biden 'Dealt with Climate Change' the Way Young People Want,breitbart,climate,misinfo,real,0.9
525,Blood Clotting Tied to Worse COVID-19 Outcomes,webmd.com,covid,real,real,0.9
526,Climate Change Hits Rock and Roll as Prized Guitar Wood Shortage Looms,scientificamerican,climate,real,real,0.85
527,Boulder eyes new car fee to combat climate change,thedenverpost,climate,real,real,0.85
528,Climate change threat to Germans' need for speed on Autobahn,theguardianuk,climate,real,real,0.85
529,With the House on hiatus McKenna hits the stage at Cities and Climate Change Science summit in Edmo,ipolitics,climate,real,real,0.7
530,Outpatient COVID-19 Clues,sciencedaily.com,covid,real,real,0.8
531,"People from Riberalta, Bolivia were punished for demanding food.",Facebook,covid,misinfo,real,0.7
532,"Raphael Coleman death: Nanny McPhee child star and climate activist dies, aged 25",theindependent,climate,misinfo,real,0.9
533,"Javier Ortega Smith, from VOX, has said that he prefers to be infected by the new coronavirus than to ""have homosexualism"".",Facebook,covid,misinfo,misinfo,0.7
534,You Erased A Continent'  Anger As Ugandan Climate Activist Cropped From Agency Picture,thehuffingtonpostuk,climate,real,real,0.9
535,California Governor Bans Sale Of New Gas-Powered Cars Beginning In 2035  Claims 'most impactful step our state can take to fight climate change',climatedepot,climate,misinfo,real,0.9
536,"France falls short on emission targets, says climate council",france24,climate,real,real,0.9
537,"People in the city of Hyderabad, India are not following social distancing, and have gone outside their homes to shop for the festival of Eid.",Facebook & Twitter,covid,misinfo,real,0.9
538,Protect your home,cdc.gov,covid,real,misinfo,0.1
539,BlackRock CEO's letter on climate change signals where finance is headed,fortune,climate,real,real,0.9
540,Extinction Rebellion dump horse manure outside UN climate summit,eveningstandard,climate,real,real,0.85
541,Campaigners call for 'climate damages tax' as they launch legal action against Shell,theindependent,climate,real,real,0.85
542,Most Americans accept that climate change is real and worrying,theverge,climate,real,real,0.9
543,Tory clambers over bins and scales fence to escape climate change hustings humiliation,theindependent,climate,real,real,0.3
544,Why are some people at greater risk of severe COVID-19?,medicalnewstoday.com,covid,real,real,0.95
545,Climate of fir: German forests struggle with heat,thetorontostar,climate,real,real,0.8
546,"The pandemic was falsified by world elites, European countries and the United States.",Facebook and Media,covid,misinfo,misinfo,0.85
547,"Meddling Monarchs, Terrorism and Climate ChangeBankers Would Like Investors to Ignore These Concerns Looming Over Saudi Aramco IPO",fortune,climate,real,real,0.7
548,19 clarifications so that the population is no longer misled about COVID-19,Facebook,covid,misinfo,misinfo,0.4
549,Countries must raise emissions targets fivefold to stop disastrous global warming UN warns,theindependent,climate,real,real,0.9
550,"Drinking garlic, onion, lemon and ginger as a drink cures COVID-19 .",WhatsApp,covid,misinfo,misinfo,0.9
551,Canada to see large shifts in fish habitat from climate change study,ipolitics,climate,real,real,0.9
552,What does the first climate question at a US debate in 20 years reveal?,theguardian,climate,misinfo,real,0.9
553,Kids are not allowed to say goodbye to their parents before being hospitalized for COVID-19.,"Facebook, WhatsApp",covid,misinfo,misinfo,0.7
554,Signs of climate change affect White House scenic spot,aljazeera,climate,real,real,0.9
555,COVID-19 is immune to organisms with a pH greater than 5.5.,"Facebook, WhatsApp",covid,misinfo,misinfo,0.9
556,A school and a elderly residence are vaccinating people without consent against COVID-19,Facebook post,covid,misinfo,misinfo,0.7
557,Alaska's new climate threat: tsunamis linked to melting permafrost,theguardianuk,climate,real,real,0.85
558,"HOAX: Hysterical climate child turns out to be child actor... it's all faked for the cameras, as usual",naturalnews,climate,misinfo,misinfo,0.85
559,The COVID-19 vaccine contains HIV and 5G nanoparticles.,Facebook,covid,misinfo,misinfo,0.95
560,Colorado climate group calls on Canadians to help halt CPP investment in energy firm,nationalobserver,climate,real,real,0.85
561,"COVID-19 Daily: Reusing Masks, Imaging Guidance",webmd.com,covid,real,real,0.9
562,Dem Lawmaker Introduces Bill to Protect Journalists in Trumps Climate of Extreme Hostility,truepundit,climate,misinfo,real,0.85
563,What Parents Should Know About the CDC's Guidelines for Reopening Schools,healthline.com,covid,real,real,0.9
564,Global Youth Climate Strike Expected To Draw Large Crowds,npr,climate,real,real,0.9
565,"Mass Testing for SARS-CoV-2 in 16 Prisons and Jails - Six Jurisdictions, United States, April-May 2020",cdc.gov,covid,real,real,0.9
566,"US blocking mention of climate change in G20 statement, diplomats say",theindependent,climate,misinfo,real,0.85
567,Disruptive School Closings Raise Questions of Equity,webmd.com,covid,real,real,0.85
568,How Republicans came to embrace anti-environmentalism,vox,climate,real,real,0.9
569,"Doctors say treating patients with corticosteroids is the official cure for coronavirus. During an interview for a television channel, a doctor from So Paulo describes the procedure.",Facebook,covid,misinfo,misinfo,0.8
570,"Jay Inslee, Climate Candidate, Exits 2020 Presidential Race",thehuffingtonpost,climate,real,real,0.9
571,Matterhorn mountain in Switzerland was lit up with Indian tricolour to convey gratitude to the country for sending the life-saving Hydroxychloroquine drugs in the fight against COVID-19.,Social Media,covid,misinfo,real,0.9
572,"In policy preview, Democrats target oceans for climate action",rollcall,climate,real,real,0.85
573,Golf courses are reopening in Ireland on 2nd May.,"Facebook, WhatsApp",covid,misinfo,real,0.8
574,"U.S. Still in First Wave, Third COVID Surge Starts",webmd.com,covid,real,real,0.9
575,New York's Original Teen-Age Climate Striker Welcomes a Global Movement,newyorker,climate,real,real,0.9
576,What If Flu and COVID-19 Overlap? Australia Is Trying to Avoid That Scenario,healthline.com,covid,real,real,0.9
577,Nobel laureate and Japan's renowned professor Tasuku Honjo has described coronavirus as unnatural. He has also said that this has been prepared in a lab in China.,"Facebook, Twitter",covid,misinfo,misinfo,0.8
578,Arriving Passengers Health Card,cdc.gov,covid,real,real,0.3
579,New Interior Department senior adviser Christian Palich is a climate denier and former coal group president,mediamattersforamerica,climate,real,real,0.85
580,Climate Change Protesters Crash Red Carpet at Venice Film Festival,breitbart,climate,misinfo,real,0.85
581,Russian academic Valentyn Katasov argued that the Shadow Rulers planned the COVID pandemic to insert microchips into people.,Facebook and YouTube,covid,misinfo,misinfo,0.9
582,How a More Conservative Supreme Court Could Impact Environmental Laws,scientificamerican,climate,real,real,0.9
583,Climate SOS: Five-year period ending 2019 to be hottest on record,aljazeera,climate,real,real,0.9
584,Climate crisis: Temperature of 38C thought to be highest ever recorded in Arctic circle,theindependent,climate,misinfo,real,0.9
585,Dutch Woman First to Die After COVID-19 Reinfection,webmd.com,covid,real,real,0.9
586,Lawmakers Claim Their Carbon Tax Proposal Is 'Revenue-Neutral.' It's Actually A $1 Trillion Tax Hike,truepundit,climate,misinfo,misinfo,0.7
587,Trump to miss key climate crisis talks at UN summit as he chairs religious freedom meeting,theindependent,climate,real,real,0.9
588,Get Your Community- and Faith-Based Organizations Ready for Coronavirus Disease 2019,cdc.gov,covid,real,real,0.9
589,All major Caspian Sea projects should undergo environmental review - official,tass,climate,real,real,0.9
590,"There was a 30% fall on Chinese product sales in the Brazilian state of Santa Catarina, due to a boycott motivated by the pandemic",Facebook,covid,misinfo,real,0.8
591,Climate change a top priority as Nevada Democrats begin to caucus,upi,climate,real,real,0.9
592,"Absent From Stimulus Packages: Overhauling Energy, Climate Programs",npr,climate,real,real,0.85
593,"Clouds make newer climate models more realistic, but also less certain",upi,climate,real,real,0.85
594,Australia Just Announced Its Biggest Ever Plan to Save the Great Barrier Reef But Environmentalists,fortune,climate,real,real,0.8
595,Coronavirus firstly appeared in June 2019.,Twitter,covid,misinfo,misinfo,0.8
596,Analysis | The Energy 202: Plastic bags are back. Environmentalists hope it's not for good.,washingtonpost,climate,real,real,0.9
597,"Meal kits better for the environment than meals cooked from supermarket ingredients, study finds",thetelegraph,climate,real,real,0.85
598,That Cough or Sneeze Behind You Might Not Be COVID,webmd.com,covid,real,real,0.9
599,Rainfall has rocketed': the remote weathermen charting the climate crisis,theguardianuk,climate,real,real,0.85
600,"USA Today Keeps Changing Date For Climate Armageddon 'So, which is it? 10 years? 50 years?'",climatedepot,climate,misinfo,misinfo,0.7
601,Considerations for Wearing Cloth Face Coverings,cdc.gov,covid,real,real,0.9
602,"A ""Wuhan super virus"" was created in a Chinese biosecurity lab and has infected more than 100,000 people in Wuhan.",Facebook,covid,misinfo,misinfo,0.8
603,Boldo tea can cure COVID-19 in three hours.,Facebook post,covid,misinfo,misinfo,0.95
604,"Rep. Ocasio-Cortez rips into Facebook, Google, and Microsoft on climate",theverge,climate,real,real,0.9
605,Chemistry Expert: Carbon Dioxide Can't Cause Global Warming,humansarefree,climate,misinfo,misinfo,0.85
606,"The CARES Act was introduced in January 2019, which proves the COVID-19 pandemic was planned in advance.",Facebook posts,covid,misinfo,misinfo,0.9
607,Gargling with warm water and salt or vinegar can kill coronavirus.,WhatsApp,covid,misinfo,misinfo,0.9
608,Thrombosis is the main cause of death for COVID-19 patients. Antibiotics can treat coronavirus patients.,Facebook,covid,misinfo,misinfo,0.8
609,Citizens' Climate Assembly meets for first time,channel4uk,climate,real,real,0.9
610,"Virginia Democrats target single-family housing zones claiming they are bastions of segregation, elitism and bad for the environment",thedcclothesline,climate,misinfo,real,0.75
611,"COVID-19 is an ordinary disease. Masks are ineffective, moreover, they the skin on the face.",Facebook and YouTube,covid,misinfo,misinfo,0.9
612,Bernie Sanders Admits Multitrillion-Dollar Climate Change Plan Will Result in 'Some Job Loss',breitbart,climate,misinfo,real,0.8
613,Bill Gates has stated that his children were not vaccinated,Facebook,covid,misinfo,misinfo,0.9
614,WATCH: Climate Activists Trying to Spray Building With Fake Blood Lose Control of Hose,truepundit,climate,misinfo,real,0.85
615,Jay Inslee on Climate Change: 'Farmers are Getting Killed by the Donald Trump Administration',cnsnews,climate,misinfo,real,0.8
616,Tolerant Leftists now targeting climate change deniers with escalating wave of vicious death thr,naturalnews,climate,misinfo,misinfo,0.8
617,"Watch: Harris, Pence questioned on plans to address climate change in debate",climatedepot,climate,misinfo,real,0.9
618,Climate arsonist': Biden slams Trump's west coast wildfire response with a new insult,nationalobserver,climate,real,real,0.9
619,Study Confirms Cats Can Become Infected With and May Transmit COVID-19 to Other Cats,sciencedaily.com,covid,real,real,0.9
620,"France, Italy and the United Kingdom followed on Jair Bolsonaro's steps and now recommend chloroquine as standard treatment for COVID-19",Facebook,covid,misinfo,misinfo,0.9
621,COVID-19 Is More Severe in Smokers,webmd.com,covid,real,real,0.9
622,"A man claims his dog was vaccinated for coronavirus, thus the SARS-Cov-2 is not really a new virus.",Facebook,covid,misinfo,misinfo,0.85
623,Can an environmental catastrophe in Yemen be averted?,aljazeera,climate,misinfo,real,0.9
624,"WATCH: Bill Nye loses it and melts down over climate change, goes on expletive-laden rant during late-night show",truepundit,climate,misinfo,misinfo,0.7
625,"Science knows': Biden, Sanders react to Trump's climate denial as devastating wildfires burn across West Coast",theindependent,climate,misinfo,real,0.9
626,Trumps infrastructure plan aims to sweep away inefficient environmental reviews,theguardian,climate,real,real,0.85
627,Daniel Radcliffe is the first celebrity to test positive for Coronavirus.,Twitter,covid,misinfo,misinfo,0.8
628,You know what is actually threatening our suburbs - fires': Biden mocks Trump's law and order fear-mongering in climate crisis speech,theindependent,climate,misinfo,real,0.85
629,Lemon Juice cures COVID-19,Whatsapp,covid,misinfo,misinfo,0.95
630,"Climate activists could be fined if they break law on gatherings, police warn",theindependent,climate,misinfo,real,0.9
631,Biden campaign mulls possible 'climate czar' position,politico,climate,real,real,0.9
632,Rep. Ocasio-Cortez Predicts the World Will End in 12 Years Due to Climate Change,cnsnews,climate,misinfo,misinfo,0.8
633,"Hoyer: House priorities for 2020 include health care, infrastructure, climate, redistricting",rollcall,climate,real,real,0.9
634,Beware oil execs in environmentalists' clothing  BP could derail real change | Alice Bell,theguardianuk,climate,real,real,0.85
635,"Yes, COVID-19 and Lockdowns Could Be Giving You Nightmares  Here's How to Sleep More Peacefully",healthline.com,covid,real,real,0.9
636,EU Parliament votes for 60% carbon dioxide emissions cut by 2030  Up from old goal of 40%  Brag EU is 'at the forefront of climate ambition',climatedepot,climate,misinfo,real,0.9
637,Did eco-fascist Greta Thunberg just call for the EXECUTIONS of world leaders who don't comply with her climate change demands?,naturalnews,climate,misinfo,misinfo,0.9
638,"Some reporters visited the British Prime Minister Boris Johnson after he recovered from his illness. His home looks like an old abandoned military hut with very old brick walls. The living room was too small so brought out the tea tray for the reporters. All the cups are different. He met them with disheveled hair and casual clothes, but with the confident smile of a Prime Minister",Facebook/Twitter,covid,misinfo,misinfo,0.7
639,The bubonic plague is airborne and can spread when an infected person coughs.,Facebook,covid,misinfo,misinfo,0.8
640,Governor to Protect Climate-Change Strategy With Veto,usnews,climate,real,real,0.9
641,South Carolina Teacher Dies From COVID-19,webmd.com,covid,real,real,0.9
642,EPA To Gut The Only Major Federal Rule To Cut Climate Pollution From Vehicles,thehuffingtonpost,climate,real,real,0.8
643,KY Reports Record-High Weekly COVID-19 Cases,webmd.com,covid,real,real,0.9
644,Dem Leader Promises Climate Change Panel If Republicans Lose House,newswars,climate,misinfo,real,0.85
645,aposHimalayan viagraapos under threat from climate change study finds,theindependent,climate,real,real,0.9
646,Climate change threatens glass sponge reefs unique to Pacific Northwest,nationalobserver,climate,real,real,0.9
647,The Drilldown: Report finds climate change most underreported humanitarian crisis,ipolitics,climate,real,real,0.85
648,The Latest: Trump accuses SF of environmental violations,thetorontostar,climate,real,real,0.9
649,Environmental group targets Republican Rep Mike Coffman with 663K ad buy,thedenverpost,climate,real,real,0.85
650,Community-level Seroprevalence Surveys,cdc.gov,covid,real,real,0.95
651,"NHK World's Chinese language service calls COVID-19 the ""Novel Japanese coronavirus"".",Twitter,covid,misinfo,misinfo,0.85
652,A bovine vaccine can be used to inoculate people against coronavirus.,Facebook,covid,misinfo,misinfo,0.8
653,Climate Change Is a PoliticalNot PartisanStory,thenation,climate,real,real,0.7
654,Solutions to climate change and obesity can be found in our cities,thetelegraph,climate,real,real,0.9
655,"The coronavirus epidemic will disappear in April thanks to the heat, as President Donald Trump said.",Twitter,covid,misinfo,misinfo,0.8
656,2018 will be fourth-hottest year on record climate scientists predict,theindependent,climate,real,real,0.9
657,"The Sprout: Green economy and climate change will be cabinet focus, report says",ipolitics,climate,real,real,0.85
658,The government must invest more in tackling climate change,nationalobserver,climate,real,real,0.9
659,'It's finding something new in the old': how fashion can confront the climate crisis,theguardianuk,climate,real,real,0.85
660,"Global warming makes California coast fishing more difficult, but one chef found a way to adapt his menu",theindependent,climate,real,real,0.85
661,Study Backs Use of Saliva COVID-19 Test,webmd.com,covid,real,real,0.9
662,1 trillion cost to reach net zero carbon is 'piece of propaganda of little value' says UK's first climate chief,theindependent,climate,misinfo,real,0.75
663,Guidance for Institutions of Higher Education with Students Participating in International Travel or Study Abroad Programs,cdc.gov,covid,real,real,0.9
664,Novel coronavirus: What we know so far - Medical News Today,medicalnewstoday.com,covid,real,real,0.9
665,Coronavirus Can Survive on Skin 9 Hours,webmd.com,covid,real,real,0.9
666,"EU farming subsidies to be replaced by fund linked to efforts to combat climate change, Theresa Villiers to announce",thetelegraph,climate,real,real,0.85
667,Environmental events will be held in Chelyabinsk in the run-up to the SCO BRICS Summits,tass,climate,real,real,0.9
668,Saudi English-language magazine Sayidaty addresses novel coronavirus since 2013,"Facebook, Twitter",covid,misinfo,misinfo,0.85
669,Americans give up citizenship in record-smashing numbers as expats find 'pandemic & political climate too much to bear' - report,sottnet,climate,misinfo,real,0.85
670,A message claimed that Russia released 500 lions on streets to keep people confined to their homes due to Covid-19 outbreak.,WhatsApp,covid,misinfo,misinfo,0.9
671,The common flu kills 60 times more people than the coronavirus every year.,"Facebook, Twitter",covid,misinfo,misinfo,0.8
672,Expert U.S. panel develops NIH treatment guidelines for COVID-19,nih.gov,covid,real,real,0.9
673,"U.S. hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths, leaked documents reveal.",Facebook,covid,misinfo,real,0.9
674,"A web article stating that Kazakhstan is dealing with a new outbreak of a particular kind of pneumonia which is ""more dangerous than Covid-19"".",Website,covid,misinfo,misinfo,0.7
675,"IUCN report: Oceans losing oxygen at rapid rate due to climate change, pollution",upi,climate,real,real,0.9
676,Oman is releasing pesticides in the air through helicopters to eliminate coronavirus.,Facebook,covid,misinfo,misinfo,0.85
677,"The WHO has decreed the ""suspension of any and all medical activities.""",WhatsApp,covid,misinfo,misinfo,0.9
678,Eco-friendly cafe owner: I put the environment before profits,bbcuk,climate,real,real,0.85
679,The World Health Organization announced that SARS-CoV-2 can stay in the air for eight hours.,Website,covid,misinfo,misinfo,0.7
680,Indonesian President Joko Widodo locked down 10 cities,WhatsApp,covid,misinfo,misinfo,0.7
681,Nobel Prize Tasuku Honjo says the coronavirus was created by man in Wuhan.,Facebook,covid,misinfo,misinfo,0.85
682,"Notes from the Field: Characteristics of Meat Processing Facility Workers with Confirmed SARS-CoV-2 Infection - Nebraska, April-May 2020",cdc.gov,covid,real,real,0.9
683,UN Urges Unprecedented and Urgent Action to Stop Climate Change,prisonplanet,climate,misinfo,real,0.9
684,How People at Higher Risk from COVID-19 Can Enjoy Summer Safely,healthline.com,covid,real,real,0.9
685,Judge rules Exxon Mobil is not liable for alleged fraud tied to climate change rules,upi,climate,real,real,0.8
686,"A bioterrorist hacked a digital traffic sign and wrote ""End this lockdown. The pandemic is a farse""",Facebook,covid,misinfo,misinfo,0.8
687,Banks will only open Tuesday and Thursday in Mexico.,WhatsApp,covid,misinfo,misinfo,0.6
688,New Hampshire Voter Mocks CBS Host Over Climate Change: 'You Gotta Be Kidding Me',newsbusters,climate,misinfo,real,0.8
689,The Real Climate Change Global Warming Activists Won't Talk About,newswars,climate,misinfo,misinfo,0.7
690,Antarctica Is An Environmental Disaster Just Waiting To Happen,nationalinterest,climate,real,real,0.85
691,Hundreds of teens join Greta Thunberg in climate protest outside UN,theguardianuk,climate,real,real,0.9
692,How does risk vary for Black and Asian patients with COVID-19?,medicalnewstoday.com,covid,real,real,0.9
693,"COVID-19 Daily: ID Doc Tests Positive, Young Adults Hit Hard",webmd.com,covid,real,real,0.9
694,If we want it to thrive we need to change the environment': Addressing the alarming lack of depth in British women's tennis,thetelegraph,climate,real,real,0.9
695,Madagascar left the World Health Organization.,Facebook user,covid,misinfo,misinfo,0.8
696,"Minnesota Sues Exxon, Koch And API For Being 'Deceptive' On Climate Change",thehuffingtonpost,climate,real,real,0.9
697,LA Times Climate Change Is Uprooting Millions of People a Year,prisonplanet,climate,misinfo,real,0.85
698,A 24-hour COVID-19 hotline offers essential food items during curfew in Sri Lanka.,"Facebook, WhatsApp",covid,misinfo,real,0.85
699,"Legal protections for LGBTQ people at work are crucial, but it's on employers to create a welcoming environment",fortune,climate,real,real,0.9
700,"A child from China has coronavirus in Galicia, Spain.",WhatsApp,covid,misinfo,real,0.8
701,"Masks do not protect against COVID-19 because they did not save politicians from the disease, although they wore the masks.",Facebook,covid,misinfo,misinfo,0.85
702,"A picture that is shared in Social Media compared deaths by malaria, alcohol, car accidents, the flu, suicide and other causes since the beginning of 2020 with COVID-19. The message is that the number of people who die of COVID-19 is low in comparison.",Facebook,covid,misinfo,misinfo,0.7
703,Pope Francis Just Convinced These Big Oil CEOs to Alter Their Message on Climate Change,fortune,climate,real,real,0.8
704,Meet the DNC climate speaker inspired by Greta to strike outside the UN in New York (even in a polar vortex),theindependent,climate,misinfo,real,0.85
705,Holding your breath lets you check if you have coronavirus.,Facebook,covid,misinfo,misinfo,0.9
706,Quarantine is a special operation to create a concentration camp in Ukraine.,Facebook,covid,misinfo,misinfo,0.85
707,Interim Guidance for Syringe Services Programs,cdc.gov,covid,real,real,0.95
708,There is a court decision that allows serving customers without masks.,Facebook,covid,misinfo,real,0.8
709,Antibiotic resistance as big a threat as climate change  chief medic,theguardianuk,climate,real,real,0.9
710,The Grand Tour: Jeremy Clarkson show confronts climate change,bbc,climate,real,real,0.8
711,RSS chief Mohan Bhagwat said he has lost faith in religion due to coronavirus pandemic.,Facebook,covid,misinfo,misinfo,0.7
712,Analysis | The Energy 202: Climate movement moves online during coronavirus pandemic,washingtonpost,climate,real,real,0.9
713,The Lancet denied the existence of the pandemic,Twitter,covid,misinfo,misinfo,0.9
714,"PCR tests cause ""damage to the blood-brain barrier""",Facebook,covid,misinfo,misinfo,0.85
715,The WHO confirms COVID-19 has ended in Japan and praises PM Abe's handling.,Twitter,covid,misinfo,misinfo,0.85
716,"India is suing China, asking US$ 20 trillion as reparations for COVID-19",Facebook,covid,misinfo,misinfo,0.9
717,Police Arrest 70 Climate Change Protesters Outside New York Times Building,slate,climate,real,real,0.85
718,"Pandemic is the most massive fraud in the US. People who die supposedly due to COVID-19, in reality, have other causes of death.",Facebook,covid,misinfo,misinfo,0.85
719,Climate change economists win Nobel prize,bbc,climate,real,real,0.9
720,"As Climate Talks Begin, U.N. Chief Warns Against 'Fiddling' While The Planet Burns",npr,climate,real,real,0.9
721,"Faster pace of climate change is 'scary', former chief scientist says",bbc,climate,real,real,0.9
722,Climate change is the deadliest legacy we will leave the young | John Lanchester,theguardianuk,climate,real,real,0.9
723,Scientists Uncover SARS-CoV-2-Specific T Cell Immunity in Recovered COVID-19 and SARS Patients,sciencedaily.com,covid,real,real,0.9
724,COVID-19 cannot spread in warm countries.,Facebook,covid,misinfo,misinfo,0.9
725,Jay Inslee's presidential campaign is all about climate change,vox,climate,real,real,0.9
726,Macron vows 'fight of the century' against climate change,aljazeera,climate,misinfo,real,0.85
727,Vaccines contain nanorrobots that can alter human DNA,Facebook,covid,misinfo,misinfo,0.95
728,Bats and Coronaviruses Go Back Centuries,webmd.com,covid,real,real,0.9
729,Industrialized Militaries Are a Bigger Part of the Climate Emergency Than You Know,theintercept,climate,real,real,0.85
730,The US hospitals inflate the number of COVID-19 cases and deaths so they can receive more money.,Facebook,covid,misinfo,misinfo,0.8
731,COVID-19 Forecasts for the United States,cdc.gov,covid,real,real,0.9
732,CDC warns people that morel mushroom increases coronavirus risk by 200%.,Facebook,covid,misinfo,misinfo,0.9
733,Why You Don't Need to Panic About the New Coronavirus,healthline.com,covid,real,real,0.9
734,Climate Change Hits Property Prices,zerohedge,climate,misinfo,real,0.9
735,Israel's 'environmental crisis' is of its own making,aljazeera,climate,real,real,0.85
736,NIH to assess and expand COVID-19 testing for underserved communities,nih.gov,covid,real,real,0.9
737,"Salim Mattar, owner of Localiza (Brazilian rental car company) criticizes COVID-19 related lockdown measures.",Facebook,covid,misinfo,real,0.85
738,"""New Ebola case confirmed in the Democratic Republic of the Congo""",who.int,covid,real,real,0.9
739,"Trump rips New York City sea wall: 'Costly, foolish' and 'environmentally unfriendly idea'",thehill,climate,real,real,0.9
740,Jeremy Clarkson says he finally believes in climate crisis during trip to Cambodia,eveningstandard,climate,real,real,0.8
741,I just wanted the day off': School children admit they used climate change protests as an excuse to skip class,sottnet,climate,misinfo,real,0.85
742,Drinking warm water with lemon protects against the novel coronavirus.,Facebook,covid,misinfo,misinfo,0.9
743,Democratic Congress would hold EPA accountable on climate change senator says,yahoonews,climate,real,real,0.85
744,Claim that Indian Prime minister Modi said one crore (10 million) COVID-19 positive patients have been treated for free.,facebook,covid,misinfo,misinfo,0.7
745,Climate Change Hulk Cartoon,ipolitics,climate,real,misinfo,0.7
746,Cancer Screening Delays May Cause Spike in Deaths,webmd.com,covid,real,real,0.9
747,COVID 'Super Spreaders' Fill Room With Virus,webmd.com,covid,real,real,0.9
748,Oceans to turn bluer due to global warming,thetelegraph,climate,real,real,0.8
749,"Ocasio-Cortez: Fight Climate Change By 'Combating White Supremacy,' Clothing Everyone, Educating Everyone, Paying Everyone Living Wage (VIDEO)",truepundit,climate,misinfo,misinfo,0.8
750,China got prepared to contain the virus and let the whole population get infected.,WhatsApp,covid,misinfo,misinfo,0.8
751,New Zealand passes 'zero carbon' law in fight against climate change,theindependent,climate,real,real,0.9
